PHY_IDENT,HabClass,BC_CLASS,EXP_BIO,SHORETYPE,ESI,ORI,TRSH,DUGR,SPZO,BLLI,WHLI,YELI,BARN,BLMU,GRAL,BRAL,SURF,EELG,SOBK,ROCK,DRKE,BUKE,CMECS_1,CMECS_2,LENGTH_M,Slope_calc,SHORE_PROB,LOST_SHORE,Wave_Dissipation,Orient_dir,Tidal_height,CVI_Rank,REAL,ALAR,DABK
04/01/0212/A,51,3,P,3,9A,5,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,326.007,19,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0212/B,51,2,P,2,8D,4,NA,C,NA,NA,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,79.135,23,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0212/C,51,6,P,6,9A,5,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,615.18,21,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0212/D,51,6,P,6,9A,5,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,68.015,13,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0213/A,50,3,P,3,8D,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,85.898,23,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0213/B,50,6,P,6,9A,5,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,58.843,14,NA,NA,Plunging,N,6.3,Low,NA,NA,NA
04/01/0214/A,50,6,P,6,5,5,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,249.647,19,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0215/A,63,6,VP,6,10A,5,NA,NA,NA,N,NA,NA,NA,NA,P,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,138.612,8,NA,NA,Spilling,E,6.3,Low,NA,NA,NA
04/01/0216/A,50,6,P,6,9A,5,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,229.383,12,NA,NA,Plunging,SE,6.3,Low,NA,NA,NA
04/01/0217/A,41,6,SP,6,9A,5,NA,NA,N,NA,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,137.342,6,NA,NA,Spilling,NE,6.3,Low,NA,NA,NA
04/01/0217/B,41,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,98.577,16,NA,NA,Plunging,N,6.3,Low,NA,NA,NA
04/01/0217/C,41,6,SP,6,6B,5,NA,NA,N,N,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,139.127,9,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0218/A,41,6,SP,6,6A,5,NA,C,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,43.533,8,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0219/A,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,107.057,17,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0219/B,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,90.695,28,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0220/A,51,2,P,2,9A,5,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,193.397,6,NA,NA,Spilling,NW,6.3,Low,NA,NA,NA
04/01/0221/A,40,3,SP,3,8D,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,42.641,26,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0221/B,40,3,SP,3,8D,5,NA,NA,NA,N,NA,NA,C,P,C,NA,NA,NA,C,NA,NA,NA,S1.1,S1.2.1.2.1,198.69,13,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0222/A,40,6,SP,6,6B,5,NA,NA,NA,M,NA,NA,NA,C,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,50.137,10,NA,NA,Plunging,E,6.3,Low,NA,NA,NA
04/01/0223/A,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,C,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,38.298,17,NA,NA,Plunging,E,6.3,Low,NA,NA,NA
04/01/0223/B,40,6,SP,6,6B,5,NA,NA,NA,M,NA,NA,NA,C,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,45.851,13,NA,NA,Plunging,SE,6.3,Low,NA,NA,NA
04/01/0224/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,32.256,28,NA,NA,Plunging,E,6.3,Low,NA,NA,NA
04/01/0224/B,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,53.421,17,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0224/C,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.1,62.846,11,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0224/D,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,39.179,38,NA,NA,Collapsing,NE,6.3,Low,NA,NA,NA
04/01/0225/A,40,3,SP,3,6B,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,75.785,6,NA,NA,Spilling,W,6.4,Low,NA,NA,NA
04/01/0226/A,40,3,SP,3,6B,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,132.331,4,NA,NA,Spilling,E,6.4,Low,NA,NA,NA
04/01/0227/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,41.992,13,NA,NA,Plunging,SE,6.4,Low,NA,NA,NA
04/01/0227/B,40,3,SP,3,5,5,NA,NA,NA,W,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,113.222,10,NA,NA,Plunging,E,6.4,Low,NA,NA,NA
04/01/0228/A,40,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,NA,P,S1.1,NA,194.587,65,NA,NA,Surging,N,6.4,Low,NA,NA,NA
04/01/0228/B,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,C,C,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,147.379,33,NA,NA,Surging,N,6.4,Low,NA,NA,NA
04/01/0229/A,51,6,P,6,5,4,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,P,NA,NA,S1.2.1.2.1,NA,33.772,9,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0229/B,51,6,P,6,5,4,NA,C,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,P,P,NA,NA,S1.2.1.2.1,NA,95.068,6,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0230/A,40,2,SP,2,5,3,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,142.246,5,NA,NA,Plunging,E,6.4,Low,NA,NA,NA
04/01/0231/A,40,1,SP,1,1A,1,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,NA,206.346,33,NA,NA,Surging,N,6.4,Low,NA,NA,NA
04/01/0232/A,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,140.225,11,NA,NA,Plunging,SW,6.4,Low,NA,NA,NA
04/01/0233/A,50,3,P,3,5,5,NA,P,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,61.674,6,NA,NA,Spilling,S,6.4,Low,NA,NA,NA
04/01/0234/A,40,2,SP,2,1C,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,45.559,33,NA,NA,Surging,N,6.4,Low,NA,NA,NA
04/01/0234/B,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,138.657,6,NA,NA,Plunging,W,6.4,Low,NA,NA,NA
04/01/0235/A,40,3,SP,3,5,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,135.505,15,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0235/B,40,6,SP,6,5,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,66.159,8,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0235/C,40,3,SP,3,5,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,215.579,11,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0235/D,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,46.646,25,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0236/A,40,2,SP,2,2A,5,NA,NA,NA,M,M,NA,C,NA,C,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.1,227.552,8,NA,NA,Plunging,SW,6.5,Low,NA,NA,NA
04/01/0237/A,40,3,SP,3,5,2,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,53.768,47,NA,NA,Surging,SW,6.5,Low,NA,NA,NA
04/01/0238/A,40,3,SP,3,6B,3,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,NA,NA,NA,S1.1,S1.2.1.2.1,46.357,15,NA,NA,Plunging,S,6.5,Low,NA,NA,NA
04/01/0238/B,40,6,SP,6,6B,5,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,110.97,10,NA,NA,Plunging,S,6.5,Low,NA,NA,NA
04/01/0239/A,40,1,SP,1,8A,3,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,165.063,65,NA,NA,Surging,S,6.5,Low,NA,NA,NA
04/01/0240/A,40,6,SP,6,5,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,52.681,15,NA,NA,Plunging,SE,6.5,Low,NA,NA,NA
04/01/0240/B,40,3,SP,3,5,5,NA,NA,NA,M,NA,N,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,234.03,11,NA,NA,Plunging,SE,6.5,Low,NA,NA,NA
04/01/0241/A,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,NA,NA,NA,S1.1,S1.2.1.1,366.403,33,NA,NA,Surging,NE,6.5,Low,NA,NA,NA
04/01/0241/B,40,1,SP,1,1A,1,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,128.847,47,NA,NA,Surging,NW,6.4,Low,NA,NA,NA
04/01/0242/A,42,6,SP,6,5,3,NA,P,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,69.496,7,NA,NA,Plunging,NW,6.4,Moderate,NA,NA,NA
04/01/0242/B,42,3,SP,3,5,5,NA,NA,NA,M,NA,NA,NA,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,52.655,10,NA,NA,Plunging,NW,6.4,Low,NA,NA,NA
04/01/0243/A,40,2,SP,2,6B,2,NA,NA,NA,M,NA,N,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,62.21,25,NA,NA,Plunging,NE,6.4,Low,NA,NA,NA
04/01/0244/A,41,2,SP,2,2A,1,NA,NA,NA,M,NA,NA,NA,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,72.341,15,NA,NA,Plunging,NW,6.4,Low,NA,NA,NA
04/01/0244/B,41,3,SP,3,5,3,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,144.553,8,NA,NA,Plunging,SW,6.4,Low,NA,NA,NA
04/01/0245/A,40,6,SP,6,5,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,97.822,8,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0246/A,40,2,SP,2,6B,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,254.597,18,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0247/A,40,2,SP,2,2A,1,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,159.393,9,NA,NA,Plunging,W,6.4,Low,NA,NA,NA
04/01/0248/A,40,2,SP,2,6B,5,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,63.083,20,NA,NA,Plunging,SW,6.4,Low,NA,NA,NA
04/01/0249/A,40,3,SP,3,6B,3,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,39.586,11,NA,NA,Plunging,SW,6.4,Low,NA,NA,NA
04/01/0249/B,40,6,SP,6,5,3,NA,P,NA,M,NA,NA,P,P,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,166.563,7,NA,NA,Plunging,W,6.4,Moderate,NA,NA,NA
04/01/0250/A,40,1,SP,1,1A,1,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,P,NA,S1.1,NA,73.005,39,NA,NA,Surging,W,6.4,Low,NA,NA,NA
04/01/0251/A,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,174.861,15,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0252/A,40,6,SP,6,5,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,112.695,11,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0253/A,41,6,SP,6,5,5,NA,P,NA,M,NA,NA,NA,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,137.555,6,NA,NA,Spilling,SE,6.4,Low,NA,NA,NA
04/01/0254/A,41,6,SP,6,5,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,24.866,5,NA,NA,Spilling,E,6.4,Low,NA,NA,NA
04/01/0255/A,40,3,SP,3,6B,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,94.511,9,NA,NA,Plunging,NW,6.4,Low,NA,NA,NA
04/01/0256/A,41,2,SP,2,8A,3,NA,NA,NA,N,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,109.151,58,NA,NA,Surging,SE,6.4,Low,NA,NA,NA
04/01/0257/A,40,3,SP,3,5,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,162.561,23,NA,NA,Plunging,NE,6.4,Low,NA,NA,NA
04/01/0258/A,40,3,SP,3,5,5,NA,P,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,357.642,8,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0259/A,40,3,SP,3,6B,5,NA,NA,NA,W,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,146.265,11,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0259/B,40,6,SP,6,5,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,75.757,18,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0260/A,50,6,P,6,5,5,NA,NA,M,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,212.605,14,NA,NA,Plunging,NW,6.4,Low,NA,NA,NA
04/01/0260/B,50,3,P,3,5,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,188.011,7,NA,NA,Plunging,E,6.4,Low,NA,NA,NA
04/01/0261/A,41,3,SP,3,5,4,NA,NA,NA,W,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,165.148,7,NA,NA,Plunging,NE,6.4,Low,NA,NA,NA
04/01/0262/A,40,6,SP,6,7,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,210.583,3,NA,NA,Spilling,N,6.4,Low,NA,NA,NA
04/01/0263/A,40,2,SP,2,6B,1,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,143.312,39,NA,NA,Surging,NW,6.4,Low,NA,NA,NA
04/01/0264/A,40,3,SP,3,5,1,NA,NA,NA,M,NA,NA,P,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,98.461,33,NA,NA,Surging,NW,6.4,Low,NA,NA,NA
04/01/0265/A,40,1,SP,1,1A,1,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,NA,80.395,22,NA,NA,Plunging,NW,6.4,Low,NA,NA,NA
04/01/0266/A,40,2,SP,2,6B,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,92.109,20,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0266/B,40,6,SP,6,6B,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,116.16,15,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0267/A,51,3,P,3,8A,5,NA,P,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,99.59,7,NA,NA,Plunging,W,6.4,Low,NA,NA,NA
04/01/0267/B,51,1,P,1,8A,3,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,116.967,25,NA,NA,Plunging,SW,6.4,Low,NA,NA,NA
04/01/0267/C,51,1,P,1,8A,3,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,53.562,28,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0267/D,51,3,P,3,8A,5,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,257.053,22,NA,NA,Plunging,SE,6.4,Low,NA,NA,NA
04/01/0268/A,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,81.315,22,NA,NA,Plunging,SE,6.4,Low,NA,NA,NA
04/01/0269/A,41,6,SP,6,5,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,27.714,10,NA,NA,Plunging,SE,6.4,Low,NA,NA,NA
04/01/0270/A,50,6,P,6,9A,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,P,P,C,NA,NA,S1.2.1.2.1,NA,397.058,5,NA,NA,Spilling,SW,6.4,Low,NA,NA,NA
04/01/0271/A,40,3,SP,3,6B,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,163.21,15,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0272/A,40,1,SP,1,8A,3,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,141.936,25,NA,NA,Plunging,N,6.4,Low,NA,NA,NA
04/01/0272/B,40,2,SP,2,6B,4,NA,NA,NA,M,NA,M,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,62.952,15,NA,NA,Plunging,S,6.4,Low,NA,NA,NA
04/01/0273/A,51,6,P,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.1.2.1,NA,37.014,20,NA,NA,Plunging,SE,6.3,Low,NA,NA,NA
04/01/0274/A,50,3,P,3,8D,5,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,S1.1,S1.2.1.2.1,225.083,35,NA,NA,Plunging,SW,6.3,Low,NA,NA,NA
04/01/0275/A,51,6,P,6,9A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.1.2.1,NA,52.586,13,NA,NA,Plunging,S,6.3,Low,NA,NA,NA
04/01/0276/A,50,2,P,2,8D,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.1,S1.2.1.1,56.306,28,NA,NA,Plunging,SW,6.3,Low,NA,NA,NA
04/01/0277/A,51,3,P,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.1,S1.2.1.2.1,100.585,20,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0278/A,50,3,P,3,8A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.1,S1.2.1.2.1,162.605,35,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0279/A,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,88.054,42,NA,NA,Collapsing,NW,6.3,Low,NA,NA,NA
04/01/0279/B,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,75.083,23,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0280/A,51,3,P,3,8D,4,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,347.864,6,NA,NA,Spilling,W,6.3,Low,NA,NA,NA
04/01/0281/A,50,2,P,2,8D,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,91.091,17,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0281/B,50,3,P,3,5,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,89.409,19,NA,NA,Plunging,S,6.3,Low,NA,NA,NA
04/01/0282/A,51,6,P,6,8D,5,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,314.898,12,NA,NA,Plunging,NW,6.3,Low,NA,NA,NA
04/01/0283/A,50,3,P,3,9A,5,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,88.159,7,NA,NA,Spilling,NE,6.3,Low,NA,NA,NA
04/01/0284/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,114.603,21,NA,NA,Plunging,NE,6.3,Low,NA,NA,NA
04/01/0284/B,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,C,C,NA,NA,NA,C,NA,NA,NA,S1.1,S1.2.1.1,54.06,72,NA,NA,Surging,NE,6.3,Low,NA,NA,NA
04/01/0284/C,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,229.62,13,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0284/D,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,81.418,13,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0285/A,50,2,P,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,43.022,32,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0285/B,50,5,P,5,8D,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,45.588,11,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0286/A,50,2,P,2,8D,4,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,63.852,15,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0287/A,50,6,P,6,8D,5,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,54.058,10,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0287/B,50,3,P,3,8A,4,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,70.712,24,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0288/A,50,3,P,3,8D,5,NA,NA,NA,N,NA,NA,C,NA,C,C,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,152.628,16,NA,NA,Plunging,SW,6.3,Low,NA,NA,NA
04/01/0288/B,50,6,P,6,8D,5,NA,P,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,57.669,10,NA,NA,Plunging,W,6.3,Low,NA,NA,NA
04/01/0289/A,50,3,P,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,90.671,15,NA,NA,Plunging,SW,6.3,Low,NA,NA,NA
04/01/0290/A,50,6,P,6,9A,5,NA,NA,N,N,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,111.114,6,NA,NA,Spilling,SW,6.3,Low,NA,NA,NA
